Latitude,Longitude,RSRP
39.61338667,-107.0211383,-104.4
39.61772833,-107.010385,-104
39.61871667,-107.0167917,-104
39.61896,-107.0177117,-103.5
39.61644,-107.013555,-103.4
39.61785167,-107.010915,-103
39.6154,-107.0161883,-103
39.61491167,-107.01101,-102.6
39.61490167,-107.01089,-102.5
39.61629,-107.0103033,-102.4
39.61492833,-107.0129667,-102.2
39.619825,-107.0118717,-102.1
39.62153333,-107.011505,-102.1
39.62154667,-107.0116167,-102.1
39.61492833,-107.0107933,-101.9
39.61924667,-107.0205717,-101.4
39.61499167,-107.0103083,-101.3
39.61482833,-107.0166483,-101.3
39.621365,-107.0119367,-100.6
39.61646667,-107.0137483,-100.5
39.613625,-107.021185,-100.5
39.61373,-107.0212467,-100.3
39.61488,-107.02237,-100.1
39.61619667,-107.010445,-99.88
39.616435,-107.013415,-99.74
39.621465,-107.0103033,-99.61
39.61496667,-107.0112667,-99.49
39.616365,-107.014995,-98.71
39.61482333,-107.010785,-98.45
39.61901667,-107.0131567,-98.09
39.61382667,-107.0212067,-97.86
39.61802667,-107.0116033,-97.58
39.61475333,-107.01676,-97.55
39.61607833,-107.010515,-97.39
39.61806167,-107.0117817,-97.16
39.615115,-107.0113483,-97.15
39.61508167,-107.016325,-97.15
39.61619,-107.0132983,-97.11
39.62155667,-107.0113967,-97.04
39.61529,-107.013125,-96.66
39.615,-107.0102317,-96.63
39.61501833,-107.0113983,-96.2
39.61645833,-107.0141133,-96.15
39.62099667,-107.0123767,-96.15
39.61501333,-107.0101617,-96.14
39.61797667,-107.01143,-95.62
39.61811167,-107.01196,-95.5
39.61502333,-107.0130517,-95.46
39.61391667,-107.02118,-95.42
39.615765,-107.0131867,-95.37
39.615835,-107.0160083,-95.32
39.61497667,-107.0106533,-95.3
39.62115333,-107.01208,-95.01
39.61646333,-107.0139367,-94.91
39.61492833,-107.01114,-94.89
39.61631333,-107.0133433,-94.83
39.61585333,-107.0131967,-94.68
39.615695,-107.013185,-94.64
39.61577667,-107.0161183,-94.49
39.61400833,-107.0211683,-94.44
39.61638333,-107.0148217,-94.35
39.61456833,-107.0217633,-94.11
39.61825,-107.015445,-94.01
39.618235,-107.0145933,-93.97
39.62141167,-107.01184,-93.96
39.61909167,-107.02104,-93.83
39.61587,-107.0158317,-93.82
39.616265,-107.0150883,-93.81
39.615505,-107.016155,-93.7
39.61835333,-107.0159033,-93.51
39.61586333,-107.010605,-93.13
39.62069,-107.01242,-92.92
39.61771,-107.0227833,-92.9
39.61565833,-107.0161633,-92.69
39.61516167,-107.0131233,-92.67
39.61489833,-107.0165117,-92.66
39.62014667,-107.011565,-92.58
39.61410333,-107.0212367,-92.53
39.62008333,-107.0130767,-92.51
39.61607833,-107.0132667,-92.47
39.61527333,-107.0162417,-92.46
39.614985,-107.02209,-92.38
39.615975,-107.010575,-92.18
39.62127667,-107.012,-92
39.619945,-107.0117417,-91.88
39.61595667,-107.0154017,-91.66
39.61985333,-107.0131583,-91.43
39.615955,-107.0132333,-91.32
39.61499,-107.0164183,-91.27
39.61543667,-107.0131417,-90.88
39.61591833,-107.0154983,-90.74
39.61889333,-107.0214583,-90.73
39.61816167,-107.0149667,-90.66
39.61590333,-107.015645,-90.64
39.61452333,-107.021465,-90.63
39.62040167,-107.0127533,-90.48
39.61603667,-107.01525,-90.4
39.61971833,-107.0119533,-90.14
39.62122,-107.0120367,-90.13
39.616415,-107.0144767,-90.08
39.61464333,-107.0220517,-90.07
39.61832167,-107.0222167,-89.96
39.61439333,-107.0213817,-89.95
39.61558167,-107.013145,-89.91
39.61642167,-107.01426,-89.82
39.61429833,-107.0213517,-89.81
39.614135,-107.021285,-89.63
39.6155,-107.01313,-89.48
39.61947833,-107.01213,-89.33
39.61995333,-107.0130817,-89.33
39.61519167,-107.0162733,-89.23
39.615395,-107.0131333,-89.18
39.61857333,-107.0218783,-89.07
39.61843167,-107.01238,-88.83
39.61516833,-107.0112483,-88.82
39.61439667,-107.0214,-88.7
39.61536667,-107.0110233,-88.67
39.62031833,-107.0128033,-87.97
